category, product
1,кетчуп шашличний
1,ковбаса брауншвейгська
1,ковбаса вершкова
1,ковбаса золотиста
1,ковбаса краківська
1,ковбаса лікарська
1,ковбаса любительська 
1,ковбаса молочна 
1,ковбаса ново-миргородська
1,ковбаса останкінська 
1,ковбаса салямі фінська 
1,ковбаса фірмова 
1,ковбаса тернопільска 
1,ковбаски віденські
1,ковбаски до пива
1,козинаки асорті
1,козинаки асорті
1,козинаки з арахісу
1,козинаки з кунжуту
1,козинаки соняшникові
1,консерви бички
1,консерви кілька чорноморська нерозібрана в томатному соусі
1,консерви курка
1,консерви м`ясні
1,консерви м’ясо курки
1,консерви печінка тріски
1,консерви рибні
1,консерви рибні бички
1,консерви рибні кілька
1,консерви сардина
1,консерви свинина
1,консерви яловичина
1,кориця мелена
1,крабові палички заморожені
1,крабові палички охолоджені
1,крекер 
1,крекер ніжний
1,крекер цибулевий
1,круасан
1,круасан з вареним згущеним молоком
1,круасан з вишневим наповнювачем
1,круасан з наповнювачем чорна смородина
1,крупа
1,крупа булгур
1,крупа гречана непропарена
1,крупа гречана проділ
1,крупа гречана ядриця 
1,крупа кукурудзяна
1,крупа манна
1,крупа перлова
1,крупа пшенична
1,крупа пшоно 
1,крупа рис круглозернистий
1,крупа рис довгозернистий
1,кукурудза
1,кукурудза консервована
1,кульки з какао
1,лавровий лист
1,лимонна кислота
1,локшина
1,майонез салатний
1,мак
1,макарони
1,макаронні вироби
1,макаронні вироби бантики трьохкольорові
1,макаронні вироби вермішель
1,макаронні вироби гребінці
1,макаронні вироби спагеті
1,макаронні вироби спіралі
1,маргарин
1,маргарин столовий вершковий
1,мармелад глазурований 
1,маслини
1,маслини без кісточки
1,маслини з кісточкою
1,мед акацієвий
1,мед липовий
1,мідії в олії
1,молоко згущене варене
1,молоко згущене незбиране з цукром
1,морозиво
1,морозиво з ароматом ванілі
1,морозиво з вареним згущеним молоком
1,морозиво з вишневим наповнювачем 
1,морозиво з какао
1,пломбір
1,морозиво пломбір
1,мускатний горіх
1,мушля
1,мюслі
1,напівфабрикати
1,напій
1,байкал сильногазований
1,байкал сильногазований
1,напій з цикорію
1,кола сильногазований пет
1,лимонад сильногазований пет
1,мохіто сильногазований пет
1,тархун сильногазований пет
1,цитринка
1,насіння льону
1,насіння соняшника
1,овочі
1,оливки без кісточки
1,оливки фаршировані креветками
1,оливки
1,оливки чорні
1,олія
1,олія соняшникова
1,оселедець
1,оселедець в олії
1,паста
1,паста томатна
1,паштет домашній
1,паштет екстра
1,паштет з печінки
1,паштет з печінки індички 
1,паштет печінковий
1,пельмені
1,пельмені з курячім м`ясом
1,пельмені з м`ясом індички
1,пельмені з яловичиною
1,пельмені зі свининою та яловичиною
1,пельмені свинячо-яловичі
1,пельмені сибірські
1,перець духмяний
1,перець червоний
1,перець чорний 
1,персики 
1,печиво
1,печиво здобне
1,печиво зоосвіт
1,печиво марія
1,печиво треффі
1,печиво хрустке
1,печиво цукрове
1,пластівці
1,пластівці вівсяні
1,пластівці кукурудзяні
1,попкорн
1,порошок гірчичний
1,пресерви 
1,пресерви оселедець
1,продукт сирний
1,продукт сметанний
1,пряники
1,пряники "малюк"
1,пряники глазуровані з какао
1,пряники з начинкою
1,пряники зі згущеним молоком
1,пряники молочні
1,пудра цукрова 
1,путасу
1,пшеничні снеки
1,рагу овочеве
1,ризькі шпроти
1,рис довгозернистий
1,рис шліфований
1,ріжки
1,рулет бісквітний
1,сардельки австрійські
1,сардельки з сиром
1,свинина тушкована
1,сир голландський
1,сир твердий «російський»
1,сир твердий гауда
1,сир твердий едам
1,сир твердий звенигородський
1,сирок глазурований
1,сіль морська харчова
1,сметана
1,сода
1,соломка солодка
1,соломка солона
1,сосиски з молоком
1,сосиски з сиром
1,соус тартар
1,соус томатний
1,ставридка
1,стружка кальмара
1,стружка кокосова
1,суміш весняна
1,суміш мексиканська
1,суміш овочі по-селянськи 
1,суп з цвітної капусти
1,суп овочевий з грибами
1,сухарики
1,сухарики-грінки
1,сухарі здобні з родзинками
1,сухарі панірувальні
1,сушки
1,сьомга
1,тісто
1,торт вафельний
1,тушка охолоджена
1,фарш лососевий
1,фігурні вироби
1,філе пангасіуса
1,фініки
1,фісташки
1,форель
1,халва з арахісом
1,халва з ароматом ванілі
1,хінкалі
1,холодний чай
1,холодний чай зелений
1,холодний чай чорний
1,хрусткі трубочки
1,цукерки 
1,цукерки глазуровані
1,цукерки желейні
1,цукерки жувальні
1,цукерки пташине молоко 
1,цукерки шоколадні
1,цукор 
1,цукор пресований
1,чай зелений
1,чай зелений байховий
1,чай зелений з жасмином
1,чай зелений листовий
1,чай чорний 
1,чай чорний байховий
1,чай чорний гранульований
1,чай чорний середньолистовий
1,чай чорний цейлонський
1,чверть задня
1,чіпси картопляні з сіллю
1,чорнослив без кісточки
1,шийка делікатесна 
1,шинка асорті 
1,шинка куряча
1,шоколад молочний
1,шоколад чорний
1,шоколад білий
1,щербет арахісовий
1,ядра волоського горіху сушені
1,ядра горіхів кешью
1,ядра насіння гарбуза
1,ядра насіння соняшнику не смажені
1,яйця курячі
1,яловичина
1,яловичина тушкована
1,яблуко
1,груша
1,вишня
1,лимон
1,апельсин
1,грейпфрут
1,деївська олійниця
1,бест альтернатива
1,екотехніка
1,олія майола
1,олія майола
1,макаронная фабрика
1,хлєбніков
1,добродія
1,житня сила
1,жменька
1,золоте зерно
1,львівські дріжджі
1,тая
1,агросельпром
1,лубенський молочний завод
1,мальцайт гмбх
1,ольф
1,харківські дріжджі
1,с бабушкиной грядки
1,українські в`ялені помідори
1,kuzan jam
1,mamaolikoli
1,здорово
1,леополіс
1,ніжин
1,херсонський завод екологічно чистих продуктів
1,дп м`ясо буковини
1,колос
1,кременчукм’ясо
1,етнопродукт
1,сосновський продукт
1,деревня перепелкино
1,дмитрук
1,кролікофф
1,українська дичина
1,фаворит плюс
1,ятрань
1,черняхівські ковбаси
1,селиська сироварня
1,inmilkco
1,ажур
1,бмк
1,бмк
1,богодухівський молокозавод
1,вімм-білль-данн
1,терра фуд
1,етнопродукт
1,куп`янський молочноконсервний комбінат
1,лімо
1,лукавиця
1,молочний альянс
1,кагма
1,путильська молочарня
1,рудь
1,гармонія
1,злагода
1,ласунчик
1,молокія
1,ферма
1,galicia
1,vilter
1,глибкон
1,добра вода
1,екопродукт
1,lacomba
1,кава lacomba
1,кава зі львова
1,карпатська скарбниця здоров’я
1,мономах
1,наш сік
1,панорама
1,сади прикарпаття
1,галка
1,фіто україна
1,чайна хата
1,весела бжілка
1,житомирська кондитерська фабрика
1,львівська майстреня шоколаду
